symbol,last_price,short_sma,long_sma,volatility,momentum,n_obs
BBCA.JK,6500.0,6521.42548828125,6674.540869140625,0.016647542177180955,0.00140898364360309,232
BMRI.JK,4700.0,4800.0,4977.75,0.023505106170389933,-0.006342494714587699,232
TLKM.JK,3060.0,3126.0,3228.0,0.03236874907267507,0.003278688524590123,232
