symbol,t_index,future_return,label,bars_to_exit,entry_price,last_price,short_sma,long_sma,volatility,momentum,n_obs,horizon_tag,sma_ratio,avg_vol_5,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width,has_sentiment_features,has_cot_features,horizon_bars,sample_weight
BBCA.JK,20,0.0,0,5,7328.61376953125,7328.61376953125,7504.690625,7647.45576171875,0.016710776673253453,-0.02839112287851009,21,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.010822333134081446
BBCA.JK,21,-0.022435855695655316,-1,5,7423.7900390625,7423.7900390625,7480.89638671875,7611.764453125,0.017086932944916068,-0.028037403491271262,22,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.011391929614822575
BBCA.JK,22,0.006472555956309467,1,5,7352.4072265625,7352.4072265625,7423.790234375,7577.262866210937,0.017048691208875692,-0.02523664717601304,23,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.011991504857707974
BBCA.JK,23,-0.022222180239182543,-1,2,7495.1728515625,7495.1728515625,7414.27255859375,7548.7098388671875,0.017762900160161393,0.003184679242086874,24,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.012622636692324185
BBCA.JK,24,-0.03536979274165575,-1,5,7399.99609375,7399.99609375,7399.99599609375,7526.1053466796875,0.017109017117021296,0.009740221884187994,25,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.013286985991920193
BBCA.JK,25,-0.02597408048676919,-1,4,7328.61376953125,7328.61376953125,7399.99599609375,7497.55234375,0.017044002252676257,-0.012820441988586895,26,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.01398630104412652
BBCA.JK,26,-0.013114748362843098,-1,5,7257.23095703125,7257.23095703125,7366.6841796875,7464.240478515625,0.017023267234690956,-0.012944912679401233,27,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.01472242215171213
BBCA.JK,27,-0.03536979274165575,-1,2,7399.99609375,7399.99609375,7376.201953125,7449.963940429688,0.016701304281142783,-0.012698407321274585,28,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.015497286475486453
BBCA.JK,28,-0.006557441463454161,-1,5,7257.23095703125,7257.23095703125,7328.61357421875,7432.1182861328125,0.01706539461959966,-0.019292596227088343,29,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.016312933132091003
BBCA.JK,29,-0.01666669402802734,-1,5,7138.259765625,7138.259765625,7276.26630859375,7408.324072265625,0.017329205527827716,-0.02597408048676919,30,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.01717150856009579
BBCA.JK,30,0.006666663930530614,1,5,7138.259765625,7138.259765625,7238.1955078125,7385.719580078125,0.01734210356643708,-0.01639346909457018,31,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.018075272168521887
BBCA.JK,31,-0.01661132240792418,-1,5,7162.05419921875,7162.05419921875,7219.16015625,7363.115087890625,0.017345620452850433,-0.03215432704514731,32,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.01902660228265462
BBCA.JK,32,-0.023333289555156234,-1,5,7138.259765625,7138.259765625,7166.812890625,7353.597387695312,0.015431134341748318,-0.01639346909457018,33,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.020028002402794336
BBCA.JK,33,-0.026402630429206986,-1,1,7209.64208984375,7209.64208984375,7157.2951171875,7355.976782226562,0.014782819728961087,0.009999961694095116,34,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.021082107792415095
BBCA.JK,34,-0.016949111276315043,-1,5,7019.28857421875,7019.28857421875,7133.50087890625,7335.751708984375,0.013396752129900026,-0.01666669402802734,35,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.02219169241306852
BBCA.JK,35,-0.029801278378040252,-1,2,7185.84814453125,7185.84814453125,7143.0185546875,7321.475170898438,0.014474479607167794,0.0033222235758973984,36,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.023359676224282654
BBCA.JK,36,-0.020270261838514214,-1,2,7043.0830078125,7043.0830078125,7119.22431640625,7296.491259765625,0.014734311125760374,-0.013333327861061228,37,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.024589132867665953
BBCA.JK,37,0.07508529004990394,1,5,6971.70068359375,6971.70068359375,7085.9125,7263.17939453125,0.014333281741565866,-0.033003220310365844,38,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.025883297755437844
BBCA.JK,38,0.03448274398024709,1,3,6900.31787109375,6900.31787109375,7024.04765625,7231.0572265625,0.01427926656273502,-0.016949111276315043,39,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.027245576584671416
BBCA.JK,39,0.03448274398024709,1,2,6900.31787109375,6900.31787109375,7000.253515625,7202.504174804688,0.014258403346031187,-0.03973508313765317,40,short_term,0.9860739181975259,0.0,44.66453292469017,-138.1555013752577,-157.12754623624127,6806.153314973951,6357.1600639323,448.9932510416511,0,0,5,0.028679554299654127
